2026-05-22 10:27:55 | DEBUG    | yfinance                       |       Exiting _get_crumb_basic()
2026-05-22 10:27:55 | DEBUG    | yfinance                       |      Exiting _get_cookie_and_crumb_basic()
2026-05-22 10:27:55 | DEBUG    | yfinance                       |     Exiting _get_cookie_and_crumb()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | response code=200
2026-05-22 10:27:55 | DEBUG    | yfinance                       |    Exiting _make_request()
2026-05-22 10:27:55 | DEBUG    | yfinance                       |   Exiting get()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | PAM: yfinance received OHLC data: 2024-01-01 05:00:00 -> 2024-01-29 05:00:00
2026-05-22 10:27:55 | DEBUG    | yfinance                       | PAM: OHLC after cleaning: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:55 | DEBUG    | yfinance                       | PAM: OHLC after combining events: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:55 | DEBUG    | yfinance                       | PAM: yfinance returning OHLC: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:55 | DEBUG    | yfinance                       |  Exiting history()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | Exiting history()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | Entering history()
2026-05-22 10:27:55 | DEBUG    | peewee                         | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['TGS', 1, 0])
2026-05-22 10:27:55 | DEBUG    | yfinance                       |  Entering history()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | TGS: Yahoo GET parameters: {'period1': '2024-01-01 00:00:00-05:00', 'period2': '2024-01-31 00:00:00-05:00', 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-05-22 10:27:55 | DEBUG    | yfinance                       |   Entering get()
2026-05-22 10:27:55 | DEBUG    | yfinance                       |    Entering _make_request()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | url=https://query2.finance.yahoo.com/v8/finance/chart/TGS
2026-05-22 10:27:55 | DEBUG    | yfinance                       | params=frozendict.frozendict({'period1': 1704085200, 'period2': 1706677200, 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'})
2026-05-22 10:27:55 | DEBUG    | yfinance                       |     Entering _get_cookie_and_crumb()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | cookie_mode = 'basic'
2026-05-22 10:27:55 | DEBUG    | yfinance                       |      Entering _get_cookie_and_crumb_basic()
2026-05-22 10:27:55 | DEBUG    | yfinance                       |       Entering _get_cookie_basic()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | reusing cookie
2026-05-22 10:27:55 | DEBUG    | yfinance                       |       Exiting _get_cookie_basic()
2026-05-22 10:27:55 | DEBUG    | yfinance                       |       Entering _get_crumb_basic()
2026-05-22 10:27:55 | DEBUG    | yfinance                       | reusing crumb
2026-05-22 10:27:55 | DEBUG    | yfinance                       |       Exiting _get_crumb_basic()
2026-05-22 10:27:55 | DEBUG    | yfinance                       |      Exiting _get_cookie_and_crumb_basic()
2026-05-22 10:27:55 | DEBUG    | yfinance                       |     Exiting _get_cookie_and_crumb()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | response code=200
2026-05-22 10:27:56 | DEBUG    | yfinance                       |    Exiting _make_request()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |   Exiting get()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | TGS: yfinance received OHLC data: 2024-01-01 05:00:00 -> 2024-01-29 05:00:00
2026-05-22 10:27:56 | DEBUG    | yfinance                       | TGS: OHLC after cleaning: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:56 | DEBUG    | yfinance                       | TGS: OHLC after combining events: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:56 | DEBUG    | yfinance                       | TGS: yfinance returning OHLC: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:56 | DEBUG    | yfinance                       |  Exiting history()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | Exiting history()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | Entering history()
2026-05-22 10:27:56 | DEBUG    | peewee                         | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['CEPU', 1, 0])
2026-05-22 10:27:56 | DEBUG    | yfinance                       |  Entering history()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | CEPU: Yahoo GET parameters: {'period1': '2024-01-01 00:00:00-05:00', 'period2': '2024-01-31 00:00:00-05:00', 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-05-22 10:27:56 | DEBUG    | yfinance                       |   Entering get()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |    Entering _make_request()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | url=https://query2.finance.yahoo.com/v8/finance/chart/CEPU
2026-05-22 10:27:56 | DEBUG    | yfinance                       | params=frozendict.frozendict({'period1': 1704085200, 'period2': 1706677200, 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'})
2026-05-22 10:27:56 | DEBUG    | yfinance                       |     Entering _get_cookie_and_crumb()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | cookie_mode = 'basic'
2026-05-22 10:27:56 | DEBUG    | yfinance                       |      Entering _get_cookie_and_crumb_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |       Entering _get_cookie_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | reusing cookie
2026-05-22 10:27:56 | DEBUG    | yfinance                       |       Exiting _get_cookie_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |       Entering _get_crumb_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | reusing crumb
2026-05-22 10:27:56 | DEBUG    | yfinance                       |       Exiting _get_crumb_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |      Exiting _get_cookie_and_crumb_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |     Exiting _get_cookie_and_crumb()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | response code=200
2026-05-22 10:27:56 | DEBUG    | yfinance                       |    Exiting _make_request()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |   Exiting get()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | CEPU: yfinance received OHLC data: 2024-01-01 05:00:00 -> 2024-01-29 05:00:00
2026-05-22 10:27:56 | DEBUG    | yfinance                       | CEPU: OHLC after cleaning: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:56 | DEBUG    | yfinance                       | CEPU: OHLC after combining events: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:56 | DEBUG    | yfinance                       | CEPU: yfinance returning OHLC: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:56 | DEBUG    | yfinance                       |  Exiting history()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | Exiting history()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | Entering history()
2026-05-22 10:27:56 | DEBUG    | peewee                         | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['EDN', 1, 0])
2026-05-22 10:27:56 | DEBUG    | yfinance                       |  Entering history()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | EDN: Yahoo GET parameters: {'period1': '2024-01-01 00:00:00-05:00', 'period2': '2024-01-31 00:00:00-05:00', 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-05-22 10:27:56 | DEBUG    | yfinance                       |   Entering get()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |    Entering _make_request()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | url=https://query2.finance.yahoo.com/v8/finance/chart/EDN
2026-05-22 10:27:56 | DEBUG    | yfinance                       | params=frozendict.frozendict({'period1': 1704085200, 'period2': 1706677200, 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'})
2026-05-22 10:27:56 | DEBUG    | yfinance                       |     Entering _get_cookie_and_crumb()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | cookie_mode = 'basic'
2026-05-22 10:27:56 | DEBUG    | yfinance                       |      Entering _get_cookie_and_crumb_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |       Entering _get_cookie_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | reusing cookie
2026-05-22 10:27:56 | DEBUG    | yfinance                       |       Exiting _get_cookie_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |       Entering _get_crumb_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       | reusing crumb
2026-05-22 10:27:56 | DEBUG    | yfinance                       |       Exiting _get_crumb_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |      Exiting _get_cookie_and_crumb_basic()
2026-05-22 10:27:56 | DEBUG    | yfinance                       |     Exiting _get_cookie_and_crumb()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | response code=200
2026-05-22 10:27:57 | DEBUG    | yfinance                       |    Exiting _make_request()
2026-05-22 10:27:57 | DEBUG    | yfinance                       |   Exiting get()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | EDN: yfinance received OHLC data: 2024-01-01 05:00:00 -> 2024-01-29 05:00:00
2026-05-22 10:27:57 | DEBUG    | yfinance                       | EDN: OHLC after cleaning: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:57 | DEBUG    | yfinance                       | EDN: OHLC after combining events: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:57 | DEBUG    | yfinance                       | EDN: yfinance returning OHLC: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:57 | DEBUG    | yfinance                       |  Exiting history()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | Exiting history()
2026-05-22 10:27:57 | DEBUG    | yfinance                       | Entering history()
